vaultbot_stuff\System\Procedures\Agentic-Loop-Turn-Protocol.md | active | ['agentic-loop', 'state-machine', 'working-memory', 'phase', 'turn-protocol', 'record', 'history'] | 474
vaultbot_stuff\System\Procedures\Analyze-Failure-Log.md | experimental | [] | 469
vaultbot_stuff\System\Procedures\Analyze-Function-Flow.md | experimental | [] | 485
vaultbot_stuff\System\Procedures\Backend-Restart.md | active | [] | 89
vaultbot_stuff\System\Procedures\Capability-Audit.md | verified | [] | 137
vaultbot_stuff\System\Procedures\Chat-Consolidation.md | active | [] | 1028
vaultbot_stuff\System\Procedures\Check-Procedure-Drift.md | experimental | [] | 570
vaultbot_stuff\System\Procedures\Check-Tool-Coverage.md | experimental | [] | 415
vaultbot_stuff\System\Procedures\Code-Diff-Notes.md | experimental | [] | 446
vaultbot_stuff\System\Procedures\Code-Pattern-Extract.md | experimental | [] | 442
vaultbot_stuff\System\Procedures\Code-Run.md | experimental | [] | 106
vaultbot_stuff\System\Procedures\Code-Structure-Check.md | experimental | [] | 460
vaultbot_stuff\System\Procedures\Condense-Note.md | experimental | [] | 473
vaultbot_stuff\System\Procedures\Cross-Check-Claims.md | experimental | [] | 471
vaultbot_stuff\System\Procedures\Discover-Procedures.md | verified | [] | 903
vaultbot_stuff\System\Procedures\Dream-Analyze.md | experimental | [] | 122
vaultbot_stuff\System\Procedures\Dream-Consolidate.md | experimental | [] | 844
