.github\issue_template.md | KEEP | project issue template
.github\pull_request_template.md | KEEP | project PR template
.venv\Lib\site-packages\faiss\contrib\torch\README.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\fastapi\.agents\skills\fastapi\references\dependencies.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\fastapi\.agents\skills\fastapi\references\other-tools.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\fastapi\.agents\skills\fastapi\references\path-operations.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\fastapi\.agents\skills\fastapi\references\pydantic.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\fastapi\.agents\skills\fastapi\references\responses.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\fastapi\.agents\skills\fastapi\references\streaming.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\fastapi\.agents\skills\fastapi\SKILL.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\httpcore-1.0.9.dist-info\licenses\LICENSE.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\httpx-0.28.1.dist-info\licenses\LICENSE.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\idna-3.18.dist-info\licenses\LICENSE.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\numpy\random\LICENSE.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\numpy-2.5.1.dist-info\licenses\numpy\fft\pocketfft\LICENSE.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\numpy-2.5.1.dist-info\licenses\numpy\random\LICENSE.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\numpy-2.5.1.dist-info\licenses\numpy\random\src\distributions\LICENSE.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\numpy-2.5.1.dist-info\licenses\numpy\random\src\mt19937\LICENSE.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\numpy-2.5.1.dist-info\licenses\numpy\random\src\pcg64\LICENSE.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\pymupdf-1.28.0.dist-info\README.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\pyright\dist\dist\typeshed-fallback\README.md | DELETE | auto-generated third-party package documentation or license
.venv\Lib\site-packages\pyright\dist\README.md | DELETE | auto-generated third-party package documentation or license
CONTRIBUTING.md | KEEP | canonical repository documentation at vault root
README.md | KEEP | canonical repository documentation at vault root
SECURITY.md | KEEP | canonical repository documentation at vault root
User\How I want RAG and procedures to work.md | KEEP | user-authored durable design intent / roadmap / issues
User\Phased-Research-and-Autonomous-Learning-Patterns.md | KEEP | user-authored durable design intent / roadmap / issues
User\Research-Roadmap.md | KEEP | user-authored durable design intent / roadmap / issues
User\VaultBot Issues.md | KEEP | user-authored durable design intent / roadmap / issues
vaultbot_stuff\.pytest_cache\README.md | DELETE | ephemeral pytest cache file
vaultbot_stuff\Audit-2026-08-03-Copilot-Changes.md | KEEP | operational audit, fix spec, or dangling-link consolidation
vaultbot_stuff\Autonomy-Directive.md | KEEP | active VaultBot behavior directive
vaultbot_stuff\baseline\chat\Chat-i-want-you-to-research-what-the-hell-qwen3508b.md | DELETE | sample chat log, not load-bearing
vaultbot_stuff\baseline\chat\Chat-sup-homie.md | DELETE | sample chat log, not load-bearing
vaultbot_stuff\baseline\chat\Chat-wait-the-shit-that-the-small-model-can-do-well-is.md | DELETE | sample chat log, not load-bearing
vaultbot_stuff\baseline\Communication-Preferences.md | KEEP | baseline starter template for identity / onboarding
vaultbot_stuff\baseline\identity\GOALS.md | KEEP | baseline starter template for identity / onboarding
vaultbot_stuff\baseline\identity\IDENTITY.md | KEEP | baseline starter template for identity / onboarding
vaultbot_stuff\baseline\identity\SELF_MODEL.md | KEEP | baseline starter template for identity / onboarding
vaultbot_stuff\baseline\README.md | KEEP | baseline starter template for identity / onboarding
vaultbot_stuff\baseline\research\Remove-Masking-Fallbacks.md | DELETE | duplicate or sample research note in baseline templates
vaultbot_stuff\baseline\research\What-are-tiny-LLMs-like-Qwen35-08B-sub-1B-parameter-models-practically-used-for-.md | DELETE | duplicate or sample research note in baseline templates
vaultbot_stuff\Communication-Preferences.md | KEEP | active VaultBot behavior directive
vaultbot_stuff\Consolidated_Dangling_Link_Note.md | KEEP | operational audit, fix spec, or dangling-link consolidation
vaultbot_stuff\CONTRIBUTING.md | DELETE | duplicate of canonical root repo document
vaultbot_stuff\Fix-Specification-Remove-Masking-Fallbacks.md | KEEP | operational audit, fix spec, or dangling-link consolidation
vaultbot_stuff\Framework-Stop-Mechanism-Fix.md | KEEP | operational audit, fix spec, or dangling-link consolidation
vaultbot_stuff\IDK-Fallback-Directive.md | KEEP | active VaultBot behavior directive
vaultbot_stuff\Knowledge\Biology\Adaptation-and-Natural-Selection.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Artificial-Homeostasis-and-VaultBot-Regulation.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Biomimetic-Engineering-for-Self-Improving-AI.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Biomimetic-Learning-Plan.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\CRISPR-Gene-Editing.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Darwinian-Coding-Mutation-Testing-Evolution.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Energy-Processing-and-Metabolism.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Energy-Processing-in-Living-Systems.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Evolution-and-Population-Genetics.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Evolution-and-the-Long-Arc.md | KEEP | biology curriculum note tied to Research-Roadmap
vaultbot_stuff\Knowledge\Biology\Growth-and-Development.md | KEEP | biology curriculum note tied to Research-Roadmap
