vaultbot_stuff\Knowledge\Textbooks\python-612the-module-search-path-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-613compiled-python-files.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-613compiled-python-files-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-61more-on-modules.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-61more-on-modules-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-62standard-modules.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-62standard-modules-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-63thedirfunction.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-63thedirfunction-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-641importing-from-a-package.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-641importing-from-a-package-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-642intra-package-references.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-642intra-package-references-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-643packages-in-multiple-directories.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-643packages-in-multiple-directories-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-64packages.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-64packages-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-6modules.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-6modules-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-711formatted-string-literals.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-712the-string-format-method.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-713manual-string-formatting.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-714old-string-formatting.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-71fancier-output-formatting.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-721methods-of-file-objects.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-722saving-structured-data-withjson.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-72reading-and-writing-files.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-7input-and-output.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-810enriching-exceptions-with-notes.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-810enriching-exceptions-with-notes-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-81syntax-errors.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-81syntax-errors-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-82exceptions.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-82exceptions-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-83handling-exceptions.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-83handling-exceptions-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-84raising-exceptions.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-84raising-exceptions-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-85exception-chaining.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-85exception-chaining-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-86user-defined-exceptions.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-86user-defined-exceptions-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-87defining-clean-up-actions.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-87defining-clean-up-actions-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-88predefined-clean-up-actions.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-88predefined-clean-up-actions-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-89raising-and-handling-multiple-unrelated-exceptions.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-89raising-and-handling-multiple-unrelated-exceptions-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-8errors-and-exceptions.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-8errors-and-exceptions-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-910generator-expressions.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-91a-word-about-names-and-objects.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-921scopes-and-namespaces-example.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-92python-scopes-and-namespaces.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-931class-definition-syntax.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-932class-objects.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-933instance-objects.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-934method-objects.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-935class-and-instance-variables.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-93a-first-look-at-classes.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-94random-remarks.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-951multiple-inheritance.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-95inheritance.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-96private-variables.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-97odds-and-ends.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-98iterators.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-99generators.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-9classes.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-navigation.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-navigation-2.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-navigation-2-L1.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-navigation-L1.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-next-topic.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-next-topic-2.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-next-topic-2-L1.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-next-topic-L1.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-previous-topic.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-previous-topic-2.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-previous-topic-2-L1.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-previous-topic-L1.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-table-of-contents.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-table-of-contents-2.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-table-of-contents-2-L1.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-table-of-contents-L1.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-the-python-tutorial.md | LOAD BEARING | Python tutorial reference content
vaultbot_stuff\Knowledge\Textbooks\python-the-python-tutorial-L1.md | NOISE | duplicate concept-card summary of a tutorial page already present
vaultbot_stuff\Knowledge\Textbooks\python-this-page.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-this-page-2.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-this-page-2-L1.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-this-page-L1.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\python-toc.md | NOISE | navigation/table-of-contents boilerplate page
vaultbot_stuff\Knowledge\Textbooks\quantum-chemistry-index.md | LOAD BEARING | textbook index / library hub
vaultbot_stuff\Knowledge\Textbooks\statistics-using-techology-index.md | LOAD BEARING | textbook index / library hub
vaultbot_stuff\Knowledge\Textbooks\Textbook-Library.md | LOAD BEARING | textbook index / library hub
vaultbot_stuff\Knowledge\Textbooks\university-physics-volume-2-index.md | LOAD BEARING | textbook index / library hub
vaultbot_stuff\Knowledge\Textbooks\university-physics-volume-3-index.md | LOAD BEARING | textbook index / library hub
vaultbot_stuff\Knowledge\Textbooks\write-what-matters-index.md | LOAD BEARING | textbook index / library hub
vaultbot_stuff\Knowledge\Tiny-LLM-Use-Cases-Mapping-to-VaultBot-Procedure-Cartridge.md | LOAD BEARING | synthesis note mapping tiny LLM use cases to procedures
vaultbot_stuff\Memory\Build-Log\CONTRIBUTING.md | LOAD BEARING | project build-log documentation
vaultbot_stuff\Memory\Build-Log\Procedure-Consolidation-2026-08-02.md | LOAD BEARING | project build-log / design decision note
vaultbot_stuff\Memory\Build-Log\README.md | LOAD BEARING | project build-log documentation
vaultbot_stuff\Memory\Build-Log\Sean-Design-Decisions.md | LOAD BEARING | project build-log / design decision note
vaultbot_stuff\Memory\Build-Log\Semantic-Research-Roadmap.md | LOAD BEARING | project build-log / design decision note
vaultbot_stuff\Memory\Build-Log\Semantic-Small-Model-Path-to-AGI.md | LOAD BEARING | project build-log / design decision note
vaultbot_stuff\Memory\Build-Log\Semantic-VaultBot-Build-Log.md | LOAD BEARING | project build-log / design decision note
vaultbot_stuff\Memory\Build-Log\Testing-and-Verification-History.md | LOAD BEARING | project build-log / design decision note
vaultbot_stuff\Memory\Build-Log\VaultBot-Build-Log.md | LOAD BEARING | project build-log / design decision note
vaultbot_stuff\Memory\Chat\Chat-Agentic-Loop-Audit.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-alright-sorry-thats-just-really-confusing-nomencl.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-and-my-friends-wont-laugh-at-me.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-and-you-made-connections-between-everything-useful.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-and-you-reindexed-so-that-the-moved-stuff-is-just.md | NOISE | chat exchange with insufficient implementation/design substance
vaultbot_stuff\Memory\Chat\Chat-and-youre-POSITIVE-that-if-someone-using-vaultbot.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
vaultbot_stuff\Memory\Chat\Chat-and-you-updated-the-README.md | NOISE | casual, repetitive, or low-substance chat exchange
vaultbot_stuff\Memory\Chat\Chat-and-youve-verified-that-this-works-try-a-topic-f.md | LOAD BEARING | chat log documenting implementation, fix, or design decision
